id_cliente;empresa;segmento;uf;plano;usuarios;mrr;meses_de_casa;dias_sem_uso;features_usadas_30d;perfil_pagador;historico_pagamento;falhas_90d
cli-0001;Alpha Turismo;Construção;RS;Essencial;1;"46,69";1;0;7;PJ;"0,54";1
cli-0002;Nexo Agro;Educação;CE;Essencial;3;"49,67";13;0;10;CLT;"0,59";1
cli-0003;Marco Clínicas;Construção;SP;Profissional;6;"129,52";8;2;4;CLT;"0,674";0
cli-0004;Eixo Fitness;Logística;SP;Essencial;4;"53,49";62;2;6;PJ;"0,773";2
cli-0005;Marco Odonto ME;Agro;MG;Essencial;1;"43,17";3;1;3;CLT;"0,553";0
cli-0006;Trilha Jurídico;Logística;MG;Profissional;5;"112,58";7;2;9;CLT;"0,911";7
cli-0007;Prisma Fitness Ltda.;Construção;BA;Essencial;1;"39,85";4;0;9;CLT;"0,798";2
cli-0008;Prisma Contábil;Varejo;BA;Essencial;4;"60,22";2;1;9;CLT;"0,623";2
cli-0009;Vale Engenharia;Agro;PR;Essencial;1;"40,04";5;0;6;PJ;"0,787";1
cli-0010;Sol Seguros ME;Educação;BA;Profissional;4;"102,11";16;0;7;CLT;"0,889";1
cli-0011;Vale Estética;Saúde;PE;Essencial;2;"47,40";23;0;9;freelancer;"0,793";1
cli-0012;Lumen Varejo;Serviços;PE;Essencial;3;"57,65";1;0;6;PJ;"0,82";2
cli-0013;Lagoa Contábil;Logística;DF;Profissional;6;"139,04";4;0;8;PJ;"0,521";1
cli-0014;Órbita Agro Ltda.;Varejo;GO;Essencial;3;"50,30";3;1;6;PJ;"0,718";2
cli-0015;Raiz Agro ME;Saúde;DF;Essencial;3;"55,76";13;0;5;CLT;"0,785";2
cli-0016;Mapa Farma;Saúde;SC;Profissional;5;"120,68";20;1;6;CLT;"0,81";0
cli-0017;Vale Jurídico;Varejo;PR;Essencial;4;"57,75";10;;;CLT;"0,804";3
cli-0018;Trilha Agro;Agro;RS;Essencial;2;"45,89";7;0;5;CLT;"0,8";1
cli-0019;Pulso Logística;Logística;GO;Essencial;2;"45,07";1;7;1;CLT;"0,792";2
cli-0020;Rota Estética ME;Jurídico;SP;Profissional;5;"126,19";12;1;9;CLT;"0,781";2
cli-0021;Base Fitness Ltda.;Logística;SP;Business;11;"300,15";38;0;7;freelancer;"0,878";1
cli-0022;Nexo Logística;Jurídico;PE;Profissional;4;"103,44";1;5;10;CLT;"0,78";1
cli-0023;Base Pet;Jurídico;MG;Essencial;2;"45,79";10;2;6;PJ;"0,725";1
cli-0024;Serra Clínicas;Educação;CE;Essencial;2;"44,21";6;2;8;PJ;"0,734";1
cli-0025;Meta Imóveis ME;Logística;SP;Essencial;3;"53,12";1;2;6;CLT;"0,747";2
cli-0026;Lumen Móveis;Agro;SP;Essencial;1;"39,73";14;0;8;CLT;"0,8";4
cli-0027;Órbita Imóveis SP;Varejo;RS;Profissional;4;"116,21";7;0;4;CLT;"0,617";1
cli-0028;Eixo Odonto Ltda.;Saúde;RS;Essencial;2;"45,37";43;1;9;CLT;"0,696";1
cli-0029;Raiz Fitness;Logística;BA;Essencial;2;"51,62";5;2;8;CLT;"0,809";1
cli-0030;Alpha Varejo ME;Varejo;RJ;Profissional;4;"118,00";27;2;9;freelancer;"0,524";2
cli-0031;Lagoa Varejo;Agro;SP;Essencial;1;"41,98";21;2;6;freelancer;"0,375";1
cli-0032;Meta Clínicas;Construção;SP;Essencial;2;"46,03";2;4;9;CLT;"0,846";1
cli-0033;Clave Educação;Jurídico;SP;Essencial;4;"60,04";1;3;4;PJ;"0,943";3
cli-0034;Rota Pet ES;Saúde;SC;Profissional;4;"100,26";2;2;9;freelancer;"0,422";3
cli-0035;Trilha Fitness Ltda.;Serviços;SC;Profissional;3;"101,25";32;0;3;CLT;"0,832";1
cli-0036;Cerrado Arquitetura;Serviços;PR;Business;15;"363,37";18;0;8;CLT;"0,431";0
cli-0037;Fluxo Agro;Agro;DF;Essencial;4;"60,03";1;1;7;PJ;"0,694";2
cli-0038;Vetor Logística;Saúde;RJ;Profissional;5;"128,33";7;0;6;PJ;"0,647";0
cli-0039;Serra Agro DF;Varejo;CE;Essencial;2;"52,71";1;1;6;CLT;"0,95";0
cli-0040;Mapa Contábil ME;Jurídico;PE;Essencial;2;"44,94";7;2;8;freelancer;"0,568";0
cli-0041;Cerrado Educação;Logística;DF;Essencial;2;"45,06";6;3;5;CLT;"0,633";1
cli-0042;Alpha Pet Ltda.;Varejo;BA;Profissional;10;"149,43";33;4;5;CLT;"0,918";0
cli-0043;Foco Varejo;Agro;RS;Profissional;7;"144,49";1;0;6;PJ;"0,477";3
cli-0044;Sinal Transportes SP;Saúde;DF;Essencial;2;"49,60";20;2;3;CLT;"0,666";0
cli-0045;Mapa Pet ME;Jurídico;MG;Essencial;1;"40,63";23;0;9;CLT;"0,808";3
cli-0046;Sinal Farma;Jurídico;SP;Profissional;3;"106,47";4;0;9;CLT;"0,846";1
cli-0047;Nexo Consultoria;Jurídico;RJ;Essencial;1;"42,94";8;0;8;PJ;"0,815";1
